Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
AGUILAFUENTE,SEGOVIA,,SEGOVIA,406806.1,4564657.99,564,SEGOVIA,TURÉGANO,11876.69926813436
ALDEANUEVA DE LA SERREZUELA,SEGOVIA,,SEGOVIA,434612.56,4590221.11,42,SEGOVIA,TURÉGANO,38679.99188546084
ALDEHUELA DEL CODONAL,SEGOVIA,,SEGOVIA,370855.99,4546067.09,24,SEGOVIA,TURÉGANO,45881.65594480661
ANAYA,SEGOVIA,,SEGOVIA,389953.96,4538534.93,119,SEGOVIA,TURÉGANO,31291.936363013934
BERCIAL,SEGOVIA,,SEGOVIA,379030.84,4529300.93,105,SEGOVIA,TURÉGANO,45557.98612726994
BOCEGUILLAS,SEGOVIA,,SEGOVIA,446597.63,4576364.89,721,SEGOVIA,TURÉGANO,36842.26463581171
BRIEVA,SEGOVIA,,SEGOVIA,411434.04,4543147.74,86,SEGOVIA,TURÉGANO,14042.494318695535
CABALLAR,SEGOVIA,,SEGOVIA,419039.09,4552547.78,75,SEGOVIA,TURÉGANO,5357.352760692402
CABEZUELA,SEGOVIA,,SEGOVIA,421822.11,4565314.97,656,SEGOVIA,TURÉGANO,10770.2689817847
CUÉLLAR,SEGOVIA,,SEGOVIA,389882.94,4584410.23,9530,SEGOVIA,TURÉGANO,37833.410048296224
CUEVAS DE PROVANCO,SEGOVIA,,SEGOVIA,419851.31,4599351.41,132,SEGOVIA,TURÉGANO,42986.742508648014
DONHIERRO,SEGOVIA,,SEGOVIA,357756.04,4553089.18,75,SEGOVIA,TURÉGANO,57865.671642390946
DURUELO,SEGOVIA,,SEGOVIA,445703.37,4565252.86,171,SEGOVIA,TURÉGANO,31407.38694860339
FRUMALES,SEGOVIA,,SEGOVIA,400750.08,4582089.28,120,SEGOVIA,TURÉGANO,29471.39343537407
FUENTEPIÑEL,SEGOVIA,,SEGOVIA,412822.16,4583722.37,68,SEGOVIA,TURÉGANO,27271.919847647365
HONRUBIA DE LA CUESTA,SEGOVIA,,SEGOVIA,441194.7,4595715.79,49,SEGOVIA,TURÉGANO,46804.92821246173
ITUERO Y LAMA,SEGOVIA,,SEGOVIA,383799.79,4517499.9,448,SEGOVIA,TURÉGANO,50333.659413307905
LASTRAS DE CUÉLLAR,SEGOVIA,,SEGOVIA,407352.1,4572298.13,307,SEGOVIA,TURÉGANO,17708.471340296284
